category,key,ko,en
auth,email,이메일,Email
auth,password,비밀번호,Password
auth,fullName,이름,Full Name
auth,companyName,회사명,Company Name
auth,login,로그인,Login
auth,register,회원가입,Register
auth,createAccount,계정 만들기,Create Account
auth,alreadyHaveAccount,이미 계정이 있으신가요?,Already have an account?
auth,dontHaveAccount,계정이 없으신가요?,Don't have an account?
validation,emailRequired,이메일을 입력해주세요,Email is required
validation,emailInvalid,올바른 이메일 형식이 아닙니다,Invalid email address
validation,passwordRequired,비밀번호를 입력해주세요,Password is required
validation,passwordMinLength,비밀번호는 최소 8자 이상이어야 합니다,Password must be at least 8 characters
validation,passwordUppercase,비밀번호는 대문자를 최소 1개 포함해야 합니다,Password must contain at least one uppercase letter
validation,passwordNumber,비밀번호는 숫자를 최소 1개 포함해야 합니다,Password must contain at least one number
validation,passwordSpecialChar,비밀번호는 특수문자(!@#$%^&*)를 최소 1개 포함해야 합니다,Password must contain at least one special character (!@#$%^&*)
validation,nameMinLength,이름은 최소 2자 이상이어야 합니다,Name must be at least 2 characters
validation,nameMaxLength,이름이 너무 깁니다,Name is too long
validation,companyNameMinLength,회사명은 최소 2자 이상이어야 합니다,Company name must be at least 2 characters
validation,companyNameMaxLength,회사명이 너무 깁니다,Company name is too long
auth,loginTitle,로그인,Login to Your Account
auth,loginDescription,이메일과 비밀번호를 입력하세요,Enter your email and password
auth,registerTitle,회원가입,Create Your Account
auth,registerDescription,팀과 함께 협업을 시작하세요,Start collaborating with your team
auth,passwordHint,"최소 8자, 대문자 1개, 숫자 1개, 특수문자 1개","Min 8 chars, 1 uppercase, 1 number, 1 special char"
auth,loggingIn,로그인 중...,Logging in...
auth,registering,계정 생성 중...,Creating account...
auth,showPassword,비밀번호 보기,Show password
auth,hidePassword,비밀번호 숨기기,Hide password
error,EMAIL_ALREADY_EXISTS,이미 존재하는 이메일입니다,Email already exists
error,COMPANY_NAME_EXISTS,비슷한 이름의 회사가 이미 존재합니다. 다른 이름을 선택해주세요.,Company with similar name already exists. Please choose a different name.
error,USER_NOT_FOUND,사용자를 찾을 수 없습니다,User not found
error,ACCOUNT_LOCKED,계정이 잠겼습니다. {minutes}분 후에 다시 시도해주세요.,Account is locked. Try again in {minutes} minutes.
error,OAUTH_ONLY_ACCOUNT,이 계정은 OAuth 로그인을 사용합니다. Google 또는 Azure로 로그인해주세요.,This account uses OAuth login. Please login with Google or Azure.
error,INVALID_PASSWORD,잘못된 비밀번호입니다,Invalid password
error,ACCOUNT_INACTIVE,계정이 비활성화되었습니다,Account is inactive
nav,chat,채팅,Chat
nav,settings,설정,Settings
nav,home,홈으로 이동,Go to home
nav,userProfile,사용자 프로필,User Profile
nav,appName,ThreadFileSharing,ThreadFileSharing
nav,appShortName,TFS,TFS
chat,rooms,채팅룸,Chat Rooms
chat,noRooms,채팅룸이 없습니다,No chat rooms
chat,createFirstRoom,첫 번째 채팅룸을 만들어보세요,Create your first chat room
chat,createRoom,채팅룸 만들기,Create Room
chat,noMessages,메시지가 없습니다,No messages
settings,title,설정,Settings
settings,description,애플리케이션 설정을 관리하세요,Manage application settings
settings,theme,테마,Theme
settings,themeDescription,애플리케이션의 외관을 변경하세요,Change the appearance of the application
settings,darkMode,다크 모드,Dark Mode
settings,darkModeDescription,어두운 테마로 전환합니다,Switch to dark theme
settings,language,언어,Language
settings,languageDescription,애플리케이션 언어를 변경하세요,Change application language
settings,notifications,알림,Notifications
settings,notificationsDescription,알림 설정을 관리하세요,Manage notification settings
settings,comingSoon,곧 지원 예정,Coming Soon
settings,currentLanguage,현재: 한국어,Current: Korean
settings,newMessageNotifications,새 메시지 알림을 받습니다,Receive new message notifications
main,messages,메시지,Messages
main,selectChatRoom,채팅룸을 선택해주세요,Please select a chat room
main,threads,Threads,Threads
main,noThreads,스레드가 없습니다,No threads
main,selectRoomFirst,먼저 채팅룸을 선택해주세요,Please select a chat room first
time,justNow,방금,just now
chat,participants,참여자,participants
chat,loadingMessages,메시지 로딩 중...,Loading messages...
chat,typing,님이 입력 중...,is typing...
chat,typeMessage,메시지를 입력하세요...,Type a message...
chat,send,전송,Send
chat,uploadFile,파일 업로드,Upload file
chat,showParticipants,참여자 보기,Show participants
chat,moreOptions,더 많은 옵션,More options
chat,sendFirstMessage,첫 번째 메시지를 보내보세요,Send your first message
chat,and,그리고,and
chat,others,명,others
thread,new,새로 만들기,New
thread,noThreads,스레드가 없습니다,No threads
thread,createFirst,첫 번째 스레드를 만들어보세요,Create your first thread
thread,createThread,스레드 만들기,Create Thread
thread,messages,메시지,messages
thread,attachedFiles,첨부 파일,Attached Files
thread,typeMessage,메시지를 입력하세요...,Type a message...
thread,uploadFile,파일 업로드,Upload file
thread,send,전송,Send
thread,editThread,스레드 편집,Edit Thread
thread,deleteThread,스레드 삭제,Delete Thread
thread,files,파일,Files
thread,chat,채팅,Chat
thread,noFiles,파일이 없습니다,No files
thread,uploadFirst,첫 번째 파일을 업로드해보세요,Upload your first file
thread,threads,스레드,Threads
chat,toggleThreads,스레드 열기/닫기,Toggle threads
fileUpload,dragDrop,파일을 여기에 드래그하거나 클릭하세요,Drag and drop files here or click to select
fileUpload,supportedFormats,"지원 형식: PDF, 이미지, 문서, 기타","Supported formats: PDF, Images, Documents, Others"
fileUpload,selectFiles,파일 선택,Select Files
fileUpload,uploading,업로드 중...,Uploading...
fileUpload,complete,업로드 완료,Upload Complete
fileUpload,error,업로드 실패,Upload Failed
fileUpload,tooLarge,파일 크기가 너무 큽니다,File size is too large
fileUpload,invalidType,지원되지 않는 파일 형식입니다,Unsupported file type
fileUpload,tooMany,최대 파일 개수를 초과했습니다,Too many files selected
fileUpload,dragOverlayTitle,파일 업로드,File Upload
fileUpload,dragOverlayDescription,'스레드 만들기' 또는 '파일 공유하기'를 선택해주세요,Please choose 'Create Thread' or 'Share File'
commands,fileUpload,파일 업로드,File Upload
commands,createThread,스레드 만들기,Create Thread
commands,createThreadDescription,파일로 새로운 스레드를 생성합니다,Create a new thread with files
commands,shareFile,파일 공유하기,Share File
commands,shareFileDescription,파일을 채팅에 직접 공유합니다,Share files directly in chat
commands,cancel,취소,Cancel
thread,uploadLocation,업로드 위치,Upload Location
thread,uploadToFolder,파일을 업로드하면 선택된 폴더에 추가됩니다,Files will be added to the selected folder
thread,rootFolder,루트 폴더,Root Folder
thread,unknownFolder,알 수 없는 폴더,Unknown Folder
fileExplorer,breadcrumb,문서 > 스레드명 > 현재폴더,Documents > Thread Name > Current Folder
fileExplorer,newFolder,새 폴더,New Folder
fileExplorer,upload,업로드,Upload
fileExplorer,share,공유,Share
fileExplorer,download,다운로드,Download
fileExplorer,search,파일 검색...,Search files...
fileExplorer,name,이름,Name
fileExplorer,modifiedDate,수정된 날짜,Modified Date
fileExplorer,modifiedBy,수정한 사람,Modified By
fileExplorer,size,크기,Size
fileExplorer,filesCount,개 파일,files
fileExplorer,noFiles,파일이 없습니다,No files
fileExplorer,uploadHere,여기에 파일을 업로드하세요,Upload files here
fileExplorer,createFolder,폴더 생성,Create Folder
fileExplorer,folderName,폴더 이름을 입력하세요,Enter folder name
fileExplorer,deleteConfirm,정말로 삭제하시겠습니까?,Are you sure you want to delete?
fileExplorer,shareLinkCopied,공유 링크가 복사되었습니다,Share link copied
fileExplorer,permissionDenied,권한이 없습니다,Permission denied
fileExplorer,moreActions,더보기,More Actions
fileExplorer,dropFilesHere,파일을 여기에 놓으세요,Drop files here
filePreview,preview,보기,Preview
filePreview,download,다운로드,Download
filePreview,noPreview,이 파일은 미리보기를 지원하지 않습니다,This file type does not support preview
filePreview,playVideo,비디오를 재생할 수 없습니다,Cannot play video
avatar,user,사용자,User
avatar,online,온라인,Online
avatar,away,자리 비움,Away
avatar,busy,바쁨,Busy
avatar,offline,오프라인,Offline
loading,loading,로딩 중...,Loading...
loading,skeleton,콘텐츠 로딩 중,Loading content
loading,pleaseWait,잠시만 기다려주세요,Please wait
